Geslacht,Leeftijd,Nationaliteit,Perioden,aantal
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 januari,1015
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 februari,755
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 maart,805
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 april,1770
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 mei,2600
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 juni,1385
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 juli,1645
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 augustus,1750
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 september ,2325
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 oktober,1695
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 november,1060
Mannen,Totaal leeftijd,Totaal nationaliteit,2014 december,1055
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 januari,740
Mannen,Totaal leeftijd,Totaal nationaliteit,2015  februari,645
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 maart,655
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 april,950
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 mei,1675
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 juni,2170
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 juli,2335
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 augustus,4210
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 september,5205
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 oktober,7465
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 november,4455
Mannen,Totaal leeftijd,Totaal nationaliteit,2015 december,2330
Mannen,Totaal leeftijd,Totaal nationaliteit,2016 januari*,1780
Mannen,Totaal leeftijd,Totaal nationaliteit,2016 februari*,1210
Mannen,Totaal leeftijd,Totaal nationaliteit,2016 maart*,935
Mannen,Totaal leeftijd,Totaal nationaliteit,2016 april*,675
Mannen,Totaal leeftijd,Totaal nationaliteit,2016 mei*,755
Mannen,Totaal leeftijd,Afghaans ,2014 januari,55
Mannen,Totaal leeftijd,Afghaans ,2014 februari,55
Mannen,Totaal leeftijd,Afghaans ,2014 maart,45
Mannen,Totaal leeftijd,Afghaans ,2014 april,55
Mannen,Totaal leeftijd,Afghaans ,2014 mei,30
Mannen,Totaal leeftijd,Afghaans ,2014 juni,50
Mannen,Totaal leeftijd,Afghaans ,2014 juli,40
Mannen,Totaal leeftijd,Afghaans ,2014 augustus,45
Mannen,Totaal leeftijd,Afghaans ,2014 september ,50
Mannen,Totaal leeftijd,Afghaans ,2014 oktober,50
Mannen,Totaal leeftijd,Afghaans ,2014 november,55
Mannen,Totaal leeftijd,Afghaans ,2014 december,40
Mannen,Totaal leeftijd,Afghaans ,2015 januari,45
Mannen,Totaal leeftijd,Afghaans ,2015 februari,45
Mannen,Totaal leeftijd,Afghaans ,2015 maart,45
Mannen,Totaal leeftijd,Afghaans ,2015 april,55
Mannen,Totaal leeftijd,Afghaans ,2015 mei,45
Mannen,Totaal leeftijd,Afghaans ,2015 juni,50
Mannen,Totaal leeftijd,Afghaans ,2015 juli,65
Mannen,Totaal leeftijd,Afghaans ,2015 augustus,110
Mannen,Totaal leeftijd,Afghaans ,2015 september,120
Mannen,Totaal leeftijd,Afghaans ,2015 oktober,330
Mannen,Totaal leeftijd,Afghaans ,2015 november,660
Mannen,Totaal leeftijd,Afghaans ,2015 december,445
Mannen,Totaal leeftijd,Afghaans ,2016 januari*,290
Mannen,Totaal leeftijd,Afghaans ,2016 februari*,125
Mannen,Totaal leeftijd,Afghaans ,2016 maart*,50
Mannen,Totaal leeftijd,Afghaans ,2016 april*,40
Mannen,Totaal leeftijd,Afghaans ,2016 mei*,65
Mannen,Totaal leeftijd,Albanees ,2014 januari,5
Mannen,Totaal leeftijd,Albanees ,2014 februari,10
Mannen,Totaal leeftijd,Albanees ,2014 maart,5
Mannen,Totaal leeftijd,Albanees ,2014 april,0
Mannen,Totaal leeftijd,Albanees ,2014 mei,5
Mannen,Totaal leeftijd,Albanees ,2014 juni,5
Mannen,Totaal leeftijd,Albanees ,2014 juli,5
