"CITIZEN","TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"Total","2006","Belgium","Total","Total","Number","10,511,382",""
"Total","2006","Bulgaria","Total","Total","Number","7,718,750",""
"Total","2006","Czech Republic","Total","Total","Number","10,251,079",""
"Total","2006","Denmark","Total","Total","Number","5,427,459",""
"Total","2006","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,437,995",""
"Total","2006","Estonia","Total","Total","Number","1,344,684",""
"Total","2006","Ireland","Total","Total","Number","4,208,156",""
"Total","2006","Greece","Total","Total","Number","11,125,179",""
"Total","2006","Spain","Total","Total","Number","44,009,967",""
"Total","2006","France","Total","Total","Number","62,998,773",""
"Total","2006","Croatia","Total","Total","Number",":",""
"Total","2006","Italy","Total","Total","Number","58,751,711",""
"Total","2006","Cyprus","Total","Total","Number","766,400",""
"Total","2006","Latvia","Total","Total","Number","2,294,590",""
"Total","2006","Lithuania","Total","Total","Number","3,289,835",""
"Total","2006","Luxembourg","Total","Total","Number","469,100","e"
"Total","2006","Hungary","Total","Total","Number","10,076,581",""
"Total","2006","Malta","Total","Total","Number","404,000",""
"Total","2006","Netherlands","Total","Total","Number","16,334,210",""
"Total","2006","Austria","Total","Total","Number","8,254,298",""
"Total","2006","Poland","Total","Total","Number","38,157,055",""
"Total","2006","Portugal","Total","Total","Number","10,569,592",""
"Total","2006","Romania","Total","Total","Number","21,610,213",""
"Total","2006","Slovenia","Total","Total","Number","2,003,358",""
"Total","2006","Slovakia","Total","Total","Number","5,389,180",""
"Total","2006","Finland","Total","Total","Number","5,255,580",""
"Total","2006","Sweden","Total","Total","Number","9,047,752",""
"Total","2006","United Kingdom","Total","Total","Number","60,393,000",""
"Total","2006","Iceland","Total","Total","Number","299,891",""
"Total","2006","Liechtenstein","Total","Total","Number",":",""
"Total","2006","Norway","Total","Total","Number","4,640,219",""
"Total","2006","Switzerland","Total","Total","Number","7,459,128",""
"Total","2007","Belgium","Total","Total","Number","10,584,534",""
"Total","2007","Bulgaria","Total","Total","Number","7,679,290",""
"Total","2007","Czech Republic","Total","Total","Number","10,287,189",""
"Total","2007","Denmark","Total","Total","Number","5,447,084",""
"Total","2007","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,314,906",""
"Total","2007","Estonia","Total","Total","Number","1,342,409",""
"Total","2007","Ireland","Total","Total","Number","4,340,118","b"
"Total","2007","Greece","Total","Total","Number","11,171,740",""
"Total","2007","Spain","Total","Total","Number","44,784,658",""
"Total","2007","France","Total","Total","Number","63,645,065","b"
"Total","2007","Croatia","Total","Total","Number","4,441,238",""
"Total","2007","Italy","Total","Total","Number","59,131,287",""
"Total","2007","Cyprus","Total","Total","Number","778,700",""
"Total","2007","Latvia","Total","Total","Number","2,281,305",""
"Total","2007","Lithuania","Total","Total","Number","3,249,983",""
"Total","2007","Luxembourg","Total","Total","Number","476,187","e"
"Total","2007","Hungary","Total","Total","Number","10,066,158",""
"Total","2007","Malta","Total","Total","Number","407,810",""
"Total","2007","Netherlands","Total","Total","Number","16,357,992",""
"Total","2007","Austria","Total","Total","Number","8,282,984",""
"Total","2007","Poland","Total","Total","Number","38,125,479",""
"Total","2007","Portugal","Total","Total","Number","10,599,095",""
"Total","2007","Romania","Total","Total","Number","21,565,119",""
"Total","2007","Slovenia","Total","Total","Number","2,010,377",""
"Total","2007","Slovakia","Total","Total","Number","5,393,637",""
"Total","2007","Finland","Total","Total","Number","5,276,955",""
"Total","2007","Sweden","Total","Total","Number","9,113,257",""
"Total","2007","United Kingdom","Total","Total","Number","60,852,828",""
"Total","2007","Iceland","Total","Total","Number",":",""
"Total","2007","Liechtenstein","Total","Total","Number",":",""
"Total","2007","Norway","Total","Total","Number","4,681,134",""
"Total","2007","Switzerland","Total","Total","Number","7,508,739",""
"Total","2008","Belgium","Total","Total","Number","10,666,866",""
"Total","2008","Bulgaria","Total","Total","Number","7,518,002","b"
"Total","2008","Czech Republic","Total","Total","Number","10,381,130",""
"Total","2008","Denmark","Total","Total","Number","5,475,751",""
"Total","2008","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,217,837",""
"Total","2008","Estonia","Total","Total","Number","1,340,935",""
"Total","2008","Ireland","Total","Total","Number","4,457,765",""
"Total","2008","Greece","Total","Total","Number","11,094,745",""
"Total","2008","Spain","Total","Total","Number","45,668,938",""
"Total","2008","France","Total","Total","Number","64,007,193",""
"Total","2008","Croatia","Total","Total","Number","4,436,401",""
"Total","2008","Italy","Total","Total","Number","59,619,290",""
"Total","2008","Cyprus","Total","Total","Number","789,258",""
"Total","2008","Latvia","Total","Total","Number","2,191,810","b"
"Total","2008","Lithuania","Total","Total","Number","3,212,605",""
"Total","2008","Luxembourg","Total","Total","Number","483,799","e"
"Total","2008","Hungary","Total","Total","Number","10,045,401",""
"Total","2008","Malta","Total","Total","Number","410,290","e"
"Total","2008","Netherlands","Total","Total","Number","16,405,399",""
"Total","2008","Austria","Total","Total","Number","8,309,665","b"
"Total","2008","Poland","Total","Total","Number","38,115,641",""
"Total","2008","Portugal","Total","Total","Number","10,617,575","p"
"Total","2008","Romania","Total","Total","Number","21,528,627",""
"Total","2008","Slovenia","Total","Total","Number","2,025,866",""
"Total","2008","Slovakia","Total","Total","Number","5,400,998",""
"Total","2008","Finland","Total","Total","Number","5,300,484",""
"Total","2008","Sweden","Total","Total","Number","9,182,927",""
"Total","2008","United Kingdom","Total","Total","Number","61,175,586",""
"Total","2008","Iceland","Total","Total","Number","315,459",""
"Total","2008","Liechtenstein","Total","Total","Number",":",""
"Total","2008","Norway","Total","Total","Number","4,737,171",""
"Total","2008","Switzerland","Total","Total","Number","7,593,494",""
"Total","2009","Belgium","Total","Total","Number","10,753,080","p"
"Total","2009","Bulgaria","Total","Total","Number","7,467,119",""
"Total","2009","Czech Republic","Total","Total","Number","10,467,542",""
"Total","2009","Denmark","Total","Total","Number","5,511,451",""
"Total","2009","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,002,356",""
"Total","2009","Estonia","Total","Total","Number","1,340,415",""
"Total","2009","Ireland","Total","Total","Number","4,521,322",""
"Total","2009","Greece","Total","Total","Number","11,094,745","b"
"Total","2009","Spain","Total","Total","Number","46,239,273",""
"Total","2009","France","Total","Total","Number","64,350,226",""
"Total","2009","Croatia","Total","Total","Number",":",""
"Total","2009","Italy","Total","Total","Number","59,000,586","b"
"Total","2009","Cyprus","Total","Total","Number","796,875",""
"Total","2009","Latvia","Total","Total","Number","2,162,834",""
"Total","2009","Lithuania","Total","Total","Number","3,183,856",""
"Total","2009","Luxembourg","Total","Total","Number","493,500",""
"Total","2009","Hungary","Total","Total","Number","10,030,975",""
"Total","2009","Malta","Total","Total","Number","410,926","b"
"Total","2009","Netherlands","Total","Total","Number","16,485,787",""
"Total","2009","Austria","Total","Total","Number","8,335,136",""
"Total","2009","Poland","Total","Total","Number",":",""
"Total","2009","Portugal","Total","Total","Number","10,563,014","b"
"Total","2009","Romania","Total","Total","Number","21,498,616",""
"Total","2009","Slovenia","Total","Total","Number","2,032,362","b"
"Total","2009","Slovakia","Total","Total","Number","5,412,254",""
"Total","2009","Finland","Total","Total","Number","5,326,314",""
"Total","2009","Sweden","Total","Total","Number","9,256,347",""
"Total","2009","United Kingdom","Total","Total","Number","62,042,343",""
"Total","2009","Iceland","Total","Total","Number","319,368",""
"Total","2009","Liechtenstein","Total","Total","Number","35,589",""
"Total","2009","Norway","Total","Total","Number","4,799,252",""
"Total","2009","Switzerland","Total","Total","Number","7,701,856",""
"Total","2010","Belgium","Total","Total","Number","10,839,905","p"
"Total","2010","Bulgaria","Total","Total","Number","7,421,766",""
"Total","2010","Czech Republic","Total","Total","Number","10,506,813",""
"Total","2010","Denmark","Total","Total","Number","5,534,738",""
"Total","2010","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,802,257",""
"Total","2010","Estonia","Total","Total","Number","1,340,127",""
"Total","2010","Ireland","Total","Total","Number","4,549,428",""
"Total","2010","Greece","Total","Total","Number","11,119,289",""
"Total","2010","Spain","Total","Total","Number","46,486,616",""
"Total","2010","France","Total","Total","Number","64,658,856",""
"Total","2010","Croatia","Total","Total","Number","4,425,747",""
"Total","2010","Italy","Total","Total","Number","59,190,143",""
"Total","2010","Cyprus","Total","Total","Number","819,140","b"
"Total","2010","Latvia","Total","Total","Number","2,120,504",""
"Total","2010","Lithuania","Total","Total","Number","3,141,976",""
"Total","2010","Luxembourg","Total","Total","Number","502,066",""
"Total","2010","Hungary","Total","Total","Number","10,014,324",""
"Total","2010","Malta","Total","Total","Number","414,027",""
"Total","2010","Netherlands","Total","Total","Number","16,574,989",""
"Total","2010","Austria","Total","Total","Number","8,351,687",""
"Total","2010","Poland","Total","Total","Number","38,022,869","bp"
"Total","2010","Portugal","Total","Total","Number","10,573,479",""
"Total","2010","Romania","Total","Total","Number","21,462,186",""
"Total","2010","Slovenia","Total","Total","Number","2,046,976",""
"Total","2010","Slovakia","Total","Total","Number","5,424,925",""
"Total","2010","Finland","Total","Total","Number","5,351,427",""
"Total","2010","Sweden","Total","Total","Number","9,340,682",""
"Total","2010","United Kingdom","Total","Total","Number","62,510,197",""
"Total","2010","Iceland","Total","Total","Number","317,630",""
"Total","2010","Liechtenstein","Total","Total","Number","35,894",""
"Total","2010","Norway","Total","Total","Number","4,854,512",""
"Total","2010","Switzerland","Total","Total","Number","7,785,806",""
"Total","2011","Belgium","Total","Total","Number","11,000,638","b"
"Total","2011","Bulgaria","Total","Total","Number","7,369,431",""
"Total","2011","Czech Republic","Total","Total","Number","10,532,770",""
"Total","2011","Denmark","Total","Total","Number","5,560,628",""
"Total","2011","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,222,065","b"
"Total","2011","Estonia","Total","Total","Number","1,320,976","b"
"Total","2011","Ireland","Total","Total","Number","4,570,881",""
"Total","2011","Greece","Total","Total","Number","11,123,392",""
"Total","2011","Spain","Total","Total","Number","46,667,173",""
"Total","2011","France","Total","Total","Number","64,978,721",""
"Total","2011","Croatia","Total","Total","Number",":",""
"Total","2011","Italy","Total","Total","Number","59,364,690",""
"Total","2011","Cyprus","Total","Total","Number","839,751",""
"Total","2011","Latvia","Total","Total","Number","2,074,605",""
"Total","2011","Lithuania","Total","Total","Number","3,052,588",""
"Total","2011","Luxembourg","Total","Total","Number","511,840",""
"Total","2011","Hungary","Total","Total","Number","9,985,722",""
"Total","2011","Malta","Total","Total","Number","414,989",""
"Total","2011","Netherlands","Total","Total","Number","16,655,799",""
"Total","2011","Austria","Total","Total","Number","8,374,950",""
"Total","2011","Poland","Total","Total","Number","38,062,718","p"
"Total","2011","Portugal","Total","Total","Number","10,572,721",""
"Total","2011","Romania","Total","Total","Number","21,413,815","p"
"Total","2011","Slovenia","Total","Total","Number","2,050,189",""
"Total","2011","Slovakia","Total","Total","Number","5,435,273",""
"Total","2011","Finland","Total","Total","Number","5,375,276",""
"Total","2011","Sweden","Total","Total","Number","9,415,570",""
"Total","2011","United Kingdom","Total","Total","Number","63,022,532",""
"Total","2011","Iceland","Total","Total","Number","318,452",""
"Total","2011","Liechtenstein","Total","Total","Number","36,149",""
"Total","2011","Norway","Total","Total","Number","4,918,169",""
"Total","2011","Switzerland","Total","Total","Number","7,870,134","b"
"Total","2012","Belgium","Total","Total","Number","11,094,850",""
"Total","2012","Bulgaria","Total","Total","Number","7,327,224",""
"Total","2012","Czech Republic","Total","Total","Number","10,505,445",""
"Total","2012","Denmark","Total","Total","Number","5,580,516",""
"Total","2012","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,327,900",""
"Total","2012","Estonia","Total","Total","Number","1,318,005",""
"Total","2012","Ireland","Total","Total","Number","4,582,707",""
"Total","2012","Greece","Total","Total","Number","11,086,406",""
"Total","2012","Spain","Total","Total","Number","46,818,214",""
"Total","2012","France","Total","Total","Number","65,276,983",""
"Total","2012","Croatia","Total","Total","Number",":","d"
"Total","2012","Italy","Total","Total","Number","59,394,207",""
"Total","2012","Cyprus","Total","Total","Number","862,011",""
"Total","2012","Latvia","Total","Total","Number","2,044,813",""
"Total","2012","Lithuania","Total","Total","Number","3,003,641",""
"Total","2012","Luxembourg","Total","Total","Number","524,853",""
"Total","2012","Hungary","Total","Total","Number","9,931,925",""
"Total","2012","Malta","Total","Total","Number","417,546",""
"Total","2012","Netherlands","Total","Total","Number","16,730,348",""
"Total","2012","Austria","Total","Total","Number","8,409,699",""
"Total","2012","Poland","Total","Total","Number","38,063,792","p"
"Total","2012","Portugal","Total","Total","Number","10,542,398",""
"Total","2012","Romania","Total","Total","Number","21,355,849","p"
"Total","2012","Slovenia","Total","Total","Number","2,055,496",""
"Total","2012","Slovakia","Total","Total","Number","5,404,322","b"
"Total","2012","Finland","Total","Total","Number","5,401,267",""
"Total","2012","Sweden","Total","Total","Number","9,482,855",""
"Total","2012","United Kingdom","Total","Total","Number","63,495,303",""
"Total","2012","Iceland","Total","Total","Number","319,575",""
"Total","2012","Liechtenstein","Total","Total","Number","36,475",""
"Total","2012","Norway","Total","Total","Number","4,979,711",""
"Total","2012","Switzerland","Total","Total","Number","7,954,662",""
"Total","2013","Belgium","Total","Total","Number","11,161,642",""
"Total","2013","Bulgaria","Total","Total","Number","7,284,552",""
"Total","2013","Czech Republic","Total","Total","Number","10,516,125",""
"Total","2013","Denmark","Total","Total","Number","5,602,628",""
"Total","2013","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,523,746",""
"Total","2013","Estonia","Total","Total","Number","1,320,174",""
"Total","2013","Ireland","Total","Total","Number","4,591,087",""
"Total","2013","Greece","Total","Total","Number","11,003,615",""
"Total","2013","Spain","Total","Total","Number","46,727,890",""
"Total","2013","France","Total","Total","Number","65,600,350",""
"Total","2013","Croatia","Total","Total","Number","4,262,140",""
"Total","2013","Italy","Total","Total","Number","59,685,227",""
"Total","2013","Cyprus","Total","Total","Number","865,878",""
"Total","2013","Latvia","Total","Total","Number","2,023,825",""
"Total","2013","Lithuania","Total","Total","Number","2,971,905",""
"Total","2013","Luxembourg","Total","Total","Number","537,039",""
"Total","2013","Hungary","Total","Total","Number","9,908,798",""
"Total","2013","Malta","Total","Total","Number","421,364",""
"Total","2013","Netherlands","Total","Total","Number","16,779,575",""
"Total","2013","Austria","Total","Total","Number","8,451,149",""
"Total","2013","Poland","Total","Total","Number","38,062,535","p"
"Total","2013","Portugal","Total","Total","Number","10,487,289",""
"Total","2013","Romania","Total","Total","Number","20,020,074","b"
"Total","2013","Slovenia","Total","Total","Number","2,058,821",""
"Total","2013","Slovakia","Total","Total","Number","5,410,836",""
"Total","2013","Finland","Total","Total","Number","5,426,674",""
"Total","2013","Sweden","Total","Total","Number","9,555,893",""
"Total","2013","United Kingdom","Total","Total","Number","63,905,297",""
"Total","2013","Iceland","Total","Total","Number","321,857",""
"Total","2013","Liechtenstein","Total","Total","Number","36,838",""
"Total","2013","Norway","Total","Total","Number","5,049,223",""
"Total","2013","Switzerland","Total","Total","Number","8,039,060",""
"Total","2014","Belgium","Total","Total","Number","11,203,992",""
"Total","2014","Bulgaria","Total","Total","Number","7,245,677",""
"Total","2014","Czech Republic","Total","Total","Number","10,512,419",""
"Total","2014","Denmark","Total","Total","Number","5,627,235",""
"Total","2014","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,767,463",""
"Total","2014","Estonia","Total","Total","Number","1,315,819",""
"Total","2014","Ireland","Total","Total","Number","4,605,501","p"
"Total","2014","Greece","Total","Total","Number","10,926,807",""
"Total","2014","Spain","Total","Total","Number","46,512,199",""
"Total","2014","France","Total","Total","Number","65,889,148","p"
"Total","2014","Croatia","Total","Total","Number","4,246,809",""
"Total","2014","Italy","Total","Total","Number","60,782,668",""
"Total","2014","Cyprus","Total","Total","Number","858,000",""
"Total","2014","Latvia","Total","Total","Number","2,001,468",""
"Total","2014","Lithuania","Total","Total","Number","2,943,472",""
"Total","2014","Luxembourg","Total","Total","Number","549,680",""
"Total","2014","Hungary","Total","Total","Number","9,877,365",""
"Total","2014","Malta","Total","Total","Number","425,384",""
"Total","2014","Netherlands","Total","Total","Number","16,829,289",""
"Total","2014","Austria","Total","Total","Number","8,506,889",""
"Total","2014","Poland","Total","Total","Number","38,017,856","p"
"Total","2014","Portugal","Total","Total","Number","10,427,301",""
"Total","2014","Romania","Total","Total","Number","19,947,311",""
"Total","2014","Slovenia","Total","Total","Number","2,061,085",""
"Total","2014","Slovakia","Total","Total","Number","5,415,949",""
"Total","2014","Finland","Total","Total","Number","5,451,270",""
"Total","2014","Sweden","Total","Total","Number","9,644,864",""
"Total","2014","United Kingdom","Total","Total","Number","64,308,261",""
"Total","2014","Iceland","Total","Total","Number","325,671",""
"Total","2014","Liechtenstein","Total","Total","Number","37,129",""
"Total","2014","Norway","Total","Total","Number","5,107,970",""
"Total","2014","Switzerland","Total","Total","Number","8,139,631",""
"Total","2015","Belgium","Total","Total","Number","11,208,986","b"
