Perioden;2016 januari*;2016  februari*;2016 maart*;2016 april*;2016 mei*;2016 juni*
Nationaliteit;aantal;aantal;aantal;aantal;aantal;aantal
Totaal nationaliteit;2670;1910;1355;1070;1135;1175
Afghaans ;400;190;65;80;95;105
Albanees ;235;250;225;140;130;100
Armeens ;5;5;5;0;5;15
Azerbeidzjaans ;5;5;10;5;10;5
Bosnisch ;20;35;35;30;10;20
Burundisch ;5;5;5;5;5;5
Chinees ;15;5;15;10;10;5
Congolees ;5;0;5;5;5;10
Egyptisch ;10;15;5;5;10;10
Eritrees ;95;80;55;65;70;105
Ethiopisch ;10;5;10;20;10;5
Georgisch ;25;30;60;45;40;40
Guinees ;30;15;15;5;15;10
Indiaas ;0;10;5;5;5;5
Iraaks ;280;170;90;50;70;70
Iraans ;225;140;75;75;55;55
Ivoriaans ;5;0;5;5;0;0
Kosovaars ;60;80;75;40;40;35
Libisch ;5;15;15;5;10;20
Macedonisch ;25;20;30;35;45;65
Malinees ;0;0;5;0;5;0
Marokkaans ;5;15;10;5;10;20
Mongools ;20;25;20;15;20;35
Myanmarees ;0;5;0;0;5;0
Nepalees ;0;0;0;0;0;0
Nigeriaans ;30;25;25;30;15;25
Noord-Koreaans ;0;0;0;0;0;0
Oekraïens ;55;95;65;15;10;20
Pakistaans ;20;5;15;5;10;10
Russisch ;10;5;10;10;5;10
Burger Servië ;70;80;80;75;50;55
Sierra Leoons ;5;10;10;5;5;5
Soedanees ;30;10;10;5;10;15
Somalisch ;25;30;20;15;25;10
Sri Lankaans ;5;5;5;10;5;5
Syrisch ;705;340;130;115;105;100
Turks ;5;5;5;5;5;5
Ugandees ;5;5;10;5;10;10
Wit-Russisch ;5;5;5;0;0;0
Onbekend;25;35;30;35;50;65
Staatloos;110;65;20;15;20;10
