"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Belgium","Total","Percentage of total population","Total","4.9",""
"2006","Belgium","Total","Percentage of active population","Total","8.3",""
"2006","Bulgaria","Total","Percentage of total population","Total","5.1",""
"2006","Bulgaria","Total","Percentage of active population","Total","9.0",""
"2006","Czech Republic","Total","Percentage of total population","Total","4.6",""
"2006","Czech Republic","Total","Percentage of active population","Total","7.1",""
"2006","Denmark","Total","Percentage of total population","Total","2.8","i"
"2006","Denmark","Total","Percentage of active population","Total","3.9","i"
"2006","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","6.6",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","10.1",""
"2006","Estonia","Total","Percentage of total population","Total","3.9",""
"2006","Estonia","Total","Percentage of active population","Total","5.9",""
"2006","Ireland","Total","Percentage of total population","Total","3.0",""
"2006","Ireland","Total","Percentage of active population","Total","4.5",""
"2006","Greece","Total","Percentage of total population","Total","5.3",""
"2006","Greece","Total","Percentage of active population","Total","9.0",""
"2006","Spain","Total","Percentage of total population","Total","5.4",""
"2006","Spain","Total","Percentage of active population","Total","8.5",""
"2006","France","Total","Percentage of total population","Total","5.2",""
"2006","France","Total","Percentage of active population","Total","8.8",""
"2006","Croatia","Total","Percentage of total population","Total","6.4","i"
"2006","Croatia","Total","Percentage of active population","Total","11.6","i"
"2006","Italy","Total","Percentage of total population","Total","3.7",""
"2006","Italy","Total","Percentage of active population","Total","6.8",""
"2006","Cyprus","Total","Percentage of total population","Total","3.1",""
"2006","Cyprus","Total","Percentage of active population","Total","4.6",""
"2006","Latvia","Total","Percentage of total population","Total","4.5",""
"2006","Latvia","Total","Percentage of active population","Total","7.0",""
"2006","Lithuania","Total","Percentage of total population","Total","3.5",""
"2006","Lithuania","Total","Percentage of active population","Total","5.8",""
"2006","Luxembourg","Total","Percentage of total population","Total","2.8","i"
"2006","Luxembourg","Total","Percentage of active population","Total","4.6","i"
"2006","Hungary","Total","Percentage of total population","Total","4.1",""
"2006","Hungary","Total","Percentage of active population","Total","7.5",""
"2006","Malta","Total","Percentage of total population","Total","3.6",""
"2006","Malta","Total","Percentage of active population","Total","6.8",""
"2006","Netherlands","Total","Percentage of total population","Total","2.7",""
"2006","Netherlands","Total","Percentage of active population","Total","5.0",""
"2006","Austria","Total","Percentage of total population","Total","3.4",""
"2006","Austria","Total","Percentage of active population","Total","5.3",""
"2006","Poland","Total","Percentage of total population","Total","8.0",""
"2006","Poland","Total","Percentage of active population","Total","13.9",""
"2006","Portugal","Total","Percentage of total population","Total","5.7",""
"2006","Portugal","Total","Percentage of active population","Total","8.9",""
"2006","Romania","Total","Percentage of total population","Total","4.3",""
"2006","Romania","Total","Percentage of active population","Total","7.2",""
"2006","Slovenia","Total","Percentage of total population","Total","3.8",""
"2006","Slovenia","Total","Percentage of active population","Total","6.0",""
"2006","Slovakia","Total","Percentage of total population","Total","8.4",""
"2006","Slovakia","Total","Percentage of active population","Total","13.5",""
"2006","Finland","Total","Percentage of total population","Total","5.2",""
"2006","Finland","Total","Percentage of active population","Total","7.7",""
"2006","Sweden","Total","Percentage of total population","Total","5.0",""
"2006","Sweden","Total","Percentage of active population","Total","7.1",""
"2006","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2006","United Kingdom","Total","Percentage of active population","Total","5.4",""
"2006","Norway","Total","Percentage of total population","Total","2.4","b"
"2006","Norway","Total","Percentage of active population","Total","3.4","b"
"2007","Belgium","Total","Percentage of total population","Total","4.5",""
"2007","Belgium","Total","Percentage of active population","Total","7.5",""
"2007","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2007","Bulgaria","Total","Percentage of active population","Total","6.9",""
"2007","Czech Republic","Total","Percentage of total population","Total","3.4",""
"2007","Czech Republic","Total","Percentage of active population","Total","5.3",""
"2007","Denmark","Total","Percentage of total population","Total","2.7",""
"2007","Denmark","Total","Percentage of active population","Total","3.8",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.6",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.5",""
"2007","Estonia","Total","Percentage of total population","Total","3.0",""
"2007","Estonia","Total","Percentage of active population","Total","4.6",""
"2007","Ireland","Total","Percentage of total population","Total","3.2",""
"2007","Ireland","Total","Percentage of active population","Total","4.7",""
"2007","Greece","Total","Percentage of total population","Total","4.9",""
"2007","Greece","Total","Percentage of active population","Total","8.4",""
"2007","Spain","Total","Percentage of total population","Total","5.3",""
"2007","Spain","Total","Percentage of active population","Total","8.2",""
"2007","France","Total","Percentage of total population","Total","4.8",""
"2007","France","Total","Percentage of active population","Total","8.0",""
"2007","Croatia","Total","Percentage of total population","Total","5.7",""
"2007","Croatia","Total","Percentage of active population","Total","9.9",""
"2007","Italy","Total","Percentage of total population","Total","3.3",""
"2007","Italy","Total","Percentage of active population","Total","6.1",""
"2007","Cyprus","Total","Percentage of total population","Total","2.7",""
"2007","Cyprus","Total","Percentage of active population","Total","3.9",""
"2007","Latvia","Total","Percentage of total population","Total","4.0",""
"2007","Latvia","Total","Percentage of active population","Total","6.1",""
"2007","Lithuania","Total","Percentage of total population","Total","2.6",""
"2007","Lithuania","Total","Percentage of active population","Total","4.3",""
"2007","Luxembourg","Total","Percentage of total population","Total","2.4",""
"2007","Luxembourg","Total","Percentage of active population","Total","4.2",""
"2007","Hungary","Total","Percentage of total population","Total","4.1",""
"2007","Hungary","Total","Percentage of active population","Total","7.4",""
"2007","Malta","Total","Percentage of total population","Total","3.4",""
"2007","Malta","Total","Percentage of active population","Total","6.5",""
"2007","Netherlands","Total","Percentage of total population","Total","2.3",""
"2007","Netherlands","Total","Percentage of active population","Total","4.2",""
"2007","Austria","Total","Percentage of total population","Total","3.2",""
"2007","Austria","Total","Percentage of active population","Total","4.9",""
"2007","Poland","Total","Percentage of total population","Total","5.5",""
"2007","Poland","Total","Percentage of active population","Total","9.6",""
"2007","Portugal","Total","Percentage of total population","Total","6.0",""
"2007","Portugal","Total","Percentage of active population","Total","9.1",""
"2007","Romania","Total","Percentage of total population","Total","3.8",""
"2007","Romania","Total","Percentage of active population","Total","6.4",""
"2007","Slovenia","Total","Percentage of total population","Total","3.1",""
"2007","Slovenia","Total","Percentage of active population","Total","4.9",""
"2007","Slovakia","Total","Percentage of total population","Total","7.0",""
"2007","Slovakia","Total","Percentage of active population","Total","11.2",""
"2007","Finland","Total","Percentage of total population","Total","4.6",""
"2007","Finland","Total","Percentage of active population","Total","6.9",""
"2007","Sweden","Total","Percentage of total population","Total","4.4",""
"2007","Sweden","Total","Percentage of active population","Total","6.1",""
"2007","United Kingdom","Total","Percentage of total population","Total","3.6",""
"2007","United Kingdom","Total","Percentage of active population","Total","5.3",""
"2007","Norway","Total","Percentage of total population","Total","1.8",""
"2007","Norway","Total","Percentage of active population","Total","2.5",""
"2008","Belgium","Total","Percentage of total population","Total","4.2",""
"2008","Belgium","Total","Percentage of active population","Total","7.0",""
"2008","Bulgaria","Total","Percentage of total population","Total","3.4",""
"2008","Bulgaria","Total","Percentage of active population","Total","5.6",""
"2008","Czech Republic","Total","Percentage of total population","Total","2.8",""
"2008","Czech Republic","Total","Percentage of active population","Total","4.4",""
"2008","Denmark","Total","Percentage of total population","Total","2.5",""
"2008","Denmark","Total","Percentage of active population","Total","3.4",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","4.9",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.4",""
"2008","Estonia","Total","Percentage of total population","Total","3.7","i"
"2008","Estonia","Total","Percentage of active population","Total","5.5","i"
"2008","Ireland","Total","Percentage of total population","Total","4.3",""
"2008","Ireland","Total","Percentage of active population","Total","6.4",""
"2008","Greece","Total","Percentage of total population","Total","4.6",""
"2008","Greece","Total","Percentage of active population","Total","7.8",""
"2008","Spain","Total","Percentage of total population","Total","7.4",""
"2008","Spain","Total","Percentage of active population","Total","11.3",""
"2008","France","Total","Percentage of total population","Total","4.4",""
"2008","France","Total","Percentage of active population","Total","7.4",""
"2008","Croatia","Total","Percentage of total population","Total","5.0",""
"2008","Croatia","Total","Percentage of active population","Total","8.6",""
